Class-A;Class-B-L1;Class-B-dims-nearer;Class-B-within-stddev;Class-B-excl-within-stddev
n07749582;n07747607;n07747607;n07747607;n07747607
n07714571;n04286575;n03991062;n02206856;n07715103
n02051845;n02006656;n02006656;n02006656;n02006656
n02363005;n02444819;n02444819;n02444819;n02361337
n02841315;n03692522;n03692522;n03692522;n04069434
n01677366;n01688243;n01688243;n01688243;n01688243
n02106166;n02106030;n02106030;n02106030;n02107683
n02106662;n02105162;n02105162;n02091467;n02105162
n02123045;n02124075;n02124075;n02123159;n02123159
n01983481;n01985128;n01985128;n01985128;n01985128
n02094433;n02097658;n02097658;n02097658;n02097658
n04536866;n02992211;n02992211;n02992211;n02992211
n02317335;n02321529;n02321529;n02321529;n01917289
n02268443;n02268853;n02268853;n02268853;n02268853
n07873807;n07875152;n07875152;n07875152;n07875152
n09835506;n02799071;n02799071;n02799071;n02799071
n02226429;n02229544;n02229544;n02229544;n02229544
n03495258;n02672831;n02672831;n02672831;n02672831
n03649909;n02797295;n04482393;n04482393;n03444034
n07920052;n03063599;n03063599;n07932039;n03063599
n02007558;n02012849;n02012849;n02012849;n02012849
n02102318;n02102480;n02102480;n02102480;n02102480
n01833805;n02206856;n02206856;n02206856;n01843065
n09472597;n09193705;n09193705;n09193705;n09193705
n02190166;n02206856;n02206856;n02219486;n02256656
n07697537;n07697313;n07697313;n07697313;n07697313
n03452741;n04515003;n04515003;n04515003;n04515003
n02129165;n02127052;n02127052;n02129604;n02129604
n07753275;n07718747;n07718747;n07718747;n07718747
n01443537;n02641379;n02641379;n02641379;n01632777
n02108089;n02108422;n02108422;n02108422;n02108422
n03773504;n04008634;n04008634;n04008634;n04008634
n01534433;n01530575;n01530575;n01532829;n01530575
n02091032;n02091134;n02091134;n02091134;n02091134
n01616318;n01608432;n01614925;n03976657;n01614925
n01882714;n02500267;n02500267;n02500267;n02500267
n02410509;n02408429;n02403003;n02408429;n02408429
n04146614;n03345487;n03345487;n03345487;n04487081
n10565667;n04251144;n04251144;n04251144;n04251144
n02364673;n02342885;n02342885;n02342885;n02342885
n03930630;n03594945;n04461696;n03594945;n03777568
n07880968;n07579787;n07579787;n07579787;n07583066
n03676483;n04116512;n04116512;n04116512;n03314780
n02481823;n02480855;n02480855;n02480855;n02480855
n02672831;n03495258;n03495258;n04515003;n04515003
n02165456;n02169497;n02169497;n02169497;n02169497
n03467068;n03976657;n03976657;n03976657;n03697007
n02398521;n02395406;n02395406;n02395406;n01698640
n02088238;n02088364;n02088364;n02088364;n02088364
n01855672;n01847000;n01847000;n03976657;n01860187
n03947888;n03216828;n03216828;n03216828;n04147183
n07718472;n07716358;n07716358;n07716358;n07716358
n01806143;n04033901;n04033901;n04033901;n04033901
n02356798;n02137549;n02137549;n02361337;n02361337
n04118538;n02799071;n02799071;n04540053;n04540053
n04133789;n03047690;n03047690;n03047690;n03047690
n03124170;n04259630;n04259630;n04259630;n04259630
n02279972;n02281406;n02281406;n02281406;n02281406
n04347754;n03216828;n03216828;n03216828;n04606251
n02236044;n02231487;n02231487;n02231487;n02231487
n02797295;n02747177;n03967562;n03633091;n03649909
n03594945;n04461696;n04461696;n04461696;n03930630
n02395406;n02396427;n02396427;n02396427;n02396427
n01847000;n01855672;n01855672;n01855672;n01855032
n04552348;n04592741;n04592741;n04592741;n04266014
n02129604;n02123159;n02123159;n02123159;n02128757
n02091134;n02091032;n02091831;n02091032;n02091032
n04310018;n02950826;n02950826;n02950826;n02950826
n02769748;n04026417;n04026417;n04026417;n03709823
n02437616;n02437312;n02437312;n02437312;n02437312
n03372029;n03838899;n03838899;n03838899;n03838899
n07742313;n07753113;n07753113;n07753113;n07716906
n02966193;n04476259;n03535780;n04522168;n03535780
n03775071;n04599235;n04599235;n04599235;n04599235
n01632777;n01630670;n01630670;n01630670;n01630670
n01630670;n01631663;n01631663;n01631663;n01631663
n03602883;n03793489;n03793489;n03793489;n04074963
n02098286;n02096177;n02097298;n02096177;n02096177
n02112137;n02112018;n02112018;n02112018;n02112018
n02206856;n04286575;n02219486;n04286575;n02094258
n07753592;n07718472;n07718472;n07717556;n07718472
n03498962;n03481172;n03481172;n03481172;n03481172
n02948072;n04286575;n04286575;n04286575;n04456115
n02951358;n03873416;n03873416;n03873416;n03873416
n04266014;n04008634;n03773504;n03773504;n03773504
n01820546;n01818515;n01818515;n01818515;n01818515
n02130308;n02128385;n02128385;n02128385;n02128385
n02099712;n02099601;n02099601;n02099601;n02099601
n01644373;n01644900;n01644900;n01644900;n01644900
n07693725;n07695742;n02776631;n07695742;n07695742
n02992529;n03485407;n03485407;n03485407;n03485407
n04487394;n03110669;n03110669;n03110669;n03110669
n01748264;n01740131;n01737021;n01740131;n01728920
n04389033;n03478589;n03478589;n03478589;n03478589
n04147183;n04612504;n04612504;n04612504;n04612504
n07714990;n07715103;n07715103;n07715103;n07715103
n02607072;n01914609;n01914609;n01914609;n01914609
n02119022;n02119789;n02119789;n02119789;n02119789
n01518878;n02012849;n02437312;n02012849;n02012849
n02843684;n03127925;n03127925;n04254120;n02727426
n02906734;n04367480;n04367480;n04367480;n03876231
n02808440;n04493381;n04493381;n04493381;n04493381
n02980441;n03877845;n03781244;n03877845;n02018207
n03494278;n03666591;n07615774;n03372029;n03666591
n01860187;n01855672;n01855672;n01855672;n02018207
n03345487;n04461696;n04461696;n04461696;n03417042
n02701002;n03769881;n03769881;n03769881;n03769881
n04409515;n02799071;n02799071;n02799071;n02799071
n03424325;n03868863;n03868863;n03868863;n03868863
n02110341;n02109047;n02109047;n02109047;n02100236
n04465501;n04428191;n04428191;n04428191;n04428191
n02056570;n04254120;n15075141;n04476259;n02051845
n02510455;n02132136;n02134418;n02134084;n02132136
n02793495;n02859443;n02859443;n02859443;n02859443
n02071294;n02066245;n02066245;n02066245;n02066245
n07720875;n07717410;n07718472;n07718472;n07716358
n04192698;n04476259;n04476259;n04476259;n03724870
n02114367;n02114855;n02114855;n02114855;n02114855
n02749479;n04090263;n04090263;n04090263;n04090263
n04522168;n03950228;n03950228;n03950228;n01580077
n01774750;n01775062;n01775062;n01775062;n01775062
n03888257;n02782093;n02782093;n02782093;n02782093
n04141076;n03838899;n03838899;n03838899;n03838899
n01531178;n01530575;n01530575;n01530575;n01530575
n02106030;n02105855;n02105855;n02105855;n02105855
n01514859;n01514668;n01514668;n01514668;n01514668
n02128757;n02127052;n02127052;n02127052;n02130308
n02138441;n02137549;n02137549;n02137549;n02137549
n02391049;n04476259;n04476259;n04476259;n02128925
n07695742;n07693725;n07693725;n07693725;n07693725
n01498041;n01496331;n01496331;n01496331;n01496331
n02526121;n02655020;n02655020;n02655020;n02655020
n02088364;n02089867;n02089867;n02089867;n02089867
n02486410;n02487347;n02487347;n02487347;n02487347
n02113023;n02113186;n02113186;n02113186;n02113186
n01843383;n01829413;n01829413;n01829413;n01829413
n02823750;n07932039;n07932039;n07932039;n07892512
n03481172;n03498962;n03498962;n03498962;n03498962
n04275548;n01773797;n01773797;n01773549;n01773797
n02134084;n02132136;n02132136;n02132136;n02132136
n07697313;n07697537;n07697537;n07697537;n07697537
n02086240;n02098413;n02098413;n02098413;n02098413
n02802426;n04540053;n04540053;n04540053;n04540053
n03272010;n02676566;n02676566;n02676566;n02676566
n02108915;n02096585;n02096585;n02096585;n02096585
n02088094;n02105251;n02105251;n02105251;n02105251
n01614925;n01608432;n01608432;n01608432;n01608432
n02346627;n02363005;n02363005;n02363005;n01872401
n07734744;n12998815;n12998815;n12998815;n12998815
n02445715;n02447366;n02447366;n02447366;n02447366
n02480855;n02481823;n02481823;n02481823;n02481823
n02483362;n02488291;n02488291;n02488291;n02488291
n02233338;n02229544;n02229544;n02206856;n02167151
n02092339;n02100583;n02100583;n02100583;n02100583
n02099601;n02099712;n02099712;n02099712;n02099712
n02077923;n02444819;n02444819;n02444819;n02444819
n02113624;n02113712;n02113712;n02113712;n02113712
n04254680;n04118538;n02799071;n03445777;n04118538
n02110185;n02109961;n02109961;n02109961;n02110063
n02814860;n02894605;n02894605;n02894605;n02894605
n02096585;n02108915;n02108915;n02108915;n02108915
n02219486;n02206856;n02206856;n02206856;n02190166
n01784675;n01990800;n01990800;n01990800;n01990800
n12267677;n12768682;n12768682;n12768682;n12768682
n02113799;n02113712;n02113712;n02113712;n02113712
n01770393;n01985128;n01978455;n01985128;n01985128
n01944390;n01945685;n01945685;n01945685;n01945685
n01494475;n01491361;n01484850;n01491361;n01491361
n02325366;n02326432;n02326432;n02326432;n02326432
n02447366;n02441942;n02441942;n02441942;n02445715
n07768694;n07753113;n07753113;n07753113;n07753113
n02110958;n02112706;n02112706;n02108422;n02112706
n02423022;n02422699;n02422699;n02422699;n02422699
n01910747;n04286575;n04286575;n04286575;n01930112
n04591713;n07892512;n07892512;n07892512;n04579145
n03710193;n02747177;n02747177;n02747177;n03425413
n02097298;n02097130;n02097130;n02097130;n02097130
n02088466;n02090379;n02090379;n02090379;n02088238
n02112018;n02086079;n02086079;n02112137;n02112137
n02117135;n02116738;n02116738;n02116738;n02116738
n02909870;n02747177;n02747177;n02747177;n02795169
n04325704;n03980874;n03980874;n03980874;n03980874
n02085620;n02087046;n02087046;n02087046;n02087046
n02883205;n04591157;n04591157;n04591157;n04591157
n03630383;n04317175;n04317175;n04376876;n04591157
n02066245;n02071294;n02071294;n02071294;n02071294
n02106550;n02089078;n02089078;n02089078;n02089078
n02109525;n02111500;n02111500;n02111129;n02111129
n02950826;n04008634;n04008634;n04008634;n04310018
n02128385;n02128925;n02128925;n02128925;n02128925
n02009912;n02012849;n02012849;n02012849;n02006656
n02480495;n02480855;n02481823;n02481823;n02481823
n02655020;n02526121;n02526121;n02526121;n02526121
n07745940;n07768694;n07768694;n07579787;n07768694
n01986214;n01978455;n01978455;n01978455;n01978455
n04086273;n04090263;n04090263;n04090263;n03527444
n01694178;n01693334;n01693334;n01693334;n01688243
n02939185;n03259280;n03259280;n04596742;n04596742
n07614500;n07836838;n07836838;n07836838;n07836838
n01484850;n01491361;n01491361;n01491361;n01491361
