Class-A;Class-B;Diff-CB;Class-Next;Diff-CN
 strawberry; pomegranate;0.6647987509118104; trifle;0.661240517378003
 peafowl; quill;0.9703635789778843; macaw;0.9713421180035249
 Labrador Retriever; Golden Retriever;0.7306397279325756; Flat-Coated Retriever;0.7500688521265124
 monarch butterfly; sulphur butterfly;0.9142234422719906; red admiral butterfly;0.910512353952472
 giant panda; brown bear;0.9333852415720594; teddy bear;0.9186761728279464
 Border Collie; collie;0.18440101969055833; Cardigan Welsh Corgi;0.4180912647796504
 spider web; European garden spider;0.4799047732292092; barn spider;0.5630155485544673
 Pembroke Welsh Corgi; Cardigan Welsh Corgi;0.5696552008530125; Australian Kelpie;0.7258600429962848
 scarf; poncho;0.6312512584801334; cardigan;0.664289924613795
 vase; drink pitcher;0.3380475721934636; plant pot;0.37993498197618464
 German Shepherd Dog; Malinois;0.6424496087414445; Norwegian Elkhound;0.6709202797413127
 tank; half-track;0.5087963042865158; amphibious vehicle;0.6066850362389231
 violin; cello;0.5021249106840696; upright piano;0.6527848347947384
 cucumber; zucchini;0.6313053955463693; spaghetti squash;0.7313810146215411
 cheetah; leopard;0.889973106176476; jaguar;0.9180013362117097
 orangutan; gorilla;0.8656567579435943; chimpanzee;0.8635279262149368
 missile; missile;0.09374166411924645; car mirror;0.4638133092740407
 soccer ball; rugby ball;0.9152689605928128; volleyball;0.9080611332592707
 lab coat; stethoscope;0.6503321977785163; beaker;0.6657259690819656
 tiger; tiger cat;0.796826204048848; jaguar;0.8500122302999079
 tennis ball; baseball;0.778965322713035; racket;0.7132109605650965
 skunk; badger;0.945602559050294; Great Pyrenees dog;0.9402131366191444
 lemon; orange;0.545202506227215; sulphur-crested cockatoo;0.6969887220547859
 Rottweiler; Black and Tan Coonhound;0.8005512485977669; Dobermann;0.7756836040050257
 espresso; coffee mug;0.5474790878489147; tea cup;0.5109103720798157
 canoe; paddle;0.8149998204503208; motorboat;0.9020610252819051
 praying mantis; stick insect;0.8189739894494413; cricket insect;0.83451505168734
 llama; arabian camel;0.9476956289000305; ram (adult male sheep);0.9338196889274605
 sandal; clogs;0.699326712639886; sneaker;0.6958921469444704
 electric guitar; acoustic guitar;0.5750385358999484; stage;0.5443017621054264
 bathtub; hot tub;0.04854886449640616; sink;0.31588969959422686
 Scottish Terrier; Giant Schnauzer;0.6800427319424216; West Highland White Terrier;0.6466408027413445
 parachute; balloon;0.9494492446706863; poke bonnet;0.9512186412249186
 sea lion; otter;0.9333890092711954; platypus;0.9259488907212543
 Beagle; Treeing Walker Coonhound;0.6921803935978096; Basset Hound;0.6511277449359476
 binoculars; loupe magnifying glass;0.6653496222184366; parking meter;0.645607818048755
 ice cream; chocolate syrup;0.5268460990369204; trifle;0.6251463569093904
 porcupine; beaver;0.9057881177261157; echidna;0.9085410088607545
 Cocker Spaniel; Sussex Spaniel;0.7520380700449459; English Springer Spaniel;0.7527106152683246
 pufferfish; eel;0.9410492838124738; lionfish;0.9153373894029739
 hen; rooster;0.6814313311351474; American coot;0.7858236236011424
 zebra; tray;0.9570105938476149; ostrich;0.9368140673339235
 collie; Shetland Sheepdog;0.5283520346660225; Border Collie;0.5718722692527081
 dragonfly; damselfly;0.7226096814541961; fly;0.8374828608583311
 fly; bee;0.8390385036030421; stick insect;0.8512949497091412
 grey whale; killer whale;0.8786988002469297; sea lion;0.8557860032640815
 accordion; harp;0.8905782446009288; upright piano;0.8835219598407639
 junco; brambling;0.9902494877965545; American dipper;0.9924469678845593
 badger; weasel;0.8906490153979826; marmot;0.8810556143247013
 bow tie; Windsor tie;0.6157394612688586; suit;0.6150835807578966
 harmonica; lighter;0.7679008578696425; microphone;0.75041722608801
 grey wolf; coyote;0.6390492993721273; red wolf or maned wolf;0.5482931161666056
 lipstick; eraser;0.6879907989536286; face powder;0.6623788578911444
 hot dog; cheeseburger;0.8025227831199936; bagel;0.8564309936971903
 bee; spotlight;0.7891906775529169; fly;0.7327362989522225
 acorn; horse chestnut seed;0.9654492240276203; centipede;0.9650149818406235
 burrito; plate;0.920698320323354; guacamole;0.9038106287584379
 ant; bee;0.7554483857759817; ladybug;0.7672235643289491
 goldfish; gar fish;0.9382536096817184; water snake;0.9307088246959732
 black swan; goose;0.9689538985273976; American coot;0.9772090189582207
 snail; slug;0.8202530964076868; conch;0.8433184544031792
 great egret; crane bird;0.7444980951584876; little blue heron;0.7817877756943926
 candle; spotlight;0.5770634930077322; altar;0.5476885648408991
 revolver; rifle;0.8818486898477205; holster;0.806200914659421
 vulture; kite (bird of prey);0.94530673795849; bald eagle;0.9533069294011227
 barn; boathouse;0.9103876508096482; great grey owl;0.9021594834201224
 lion; lynx;0.9799341949687216; cougar;0.9761375729840424
 Weimaraner; Vizsla;0.9120493448966226; Great Dane;0.9069360854581282
 Golden Retriever; Labrador Retriever;0.6354896899848246; Cocker Spaniel;0.6703636293728596
 snow leopard; lynx;0.8726730639939273; leopard;0.8011957659618929
 broom; mop;0.6376057901011817; hockey puck;0.7022551182447463
 cauldron; Dutch oven;0.5126022794684695; wok;0.42564851429197914
 submarine; dock;0.8912118075982858; trimaran;0.888983123130987
 Chihuahua; toy terrier;0.6188522055564681; Miniature Pinscher;0.595467327373442
 rugby ball; baseball;0.7989782576009041; soccer ball;0.7363396883525729
 grasshopper; cricket insect;0.23558564608465526; sliding door;0.5702763040551484
 pickup truck; jeep;0.5876747545158332; fire truck;0.5490504879700893
 fox squirrel; mongoose;0.9073939969234015; marmot;0.8922266418980871
 baboon; macaque;0.922480988315656; guenon;0.9062362798794493
 beer glass; eggnog;0.6467928638782178; beer bottle;0.5872546098819293
 hippopotamus; pig;0.9919723235146853; platypus;0.9914485825689501
 mailbox; trash can;0.7005895591876833; birdhouse;0.6916826784281275
 leopard; jaguar;0.4424369117344031; cheetah;0.6511193306346831
 St. Bernard; Great Pyrenees dog;0.9135572486634805; Brittany dog;0.8997322594398613
 bison; water buffalo;0.9624913049850352; ox;0.9378691128353239
 bald eagle; kite (bird of prey);0.9629365885751031; vulture;0.9771649516565685
 wine bottle; red wine;0.33918412879458626; beer bottle;0.47083209236508994
 pizza; pot pie;0.8435006183826985; trifle;0.8285467936486873
 lorikeet; macaw;0.9924845337071292; bee eater;0.9933046476284059
 flamingo; crane bird;0.9853083918614174; black swan;0.9884695833305193
 pig; wild boar;0.46120682114036754; warthog;0.6569575580192395
 joystick; computer mouse;0.8092241193549012; modem;0.8025271588700059
 Pomeranian; Pekingese;0.9108402558111993; Chihuahua;0.9069060634863673
 trombone; cornet;0.7297397066868143; saxophone;0.7769583199191583
 chimpanzee; gorilla;0.8458974093806683; siamang;0.8622195990550244
 tractor; threshing machine;0.5850277389553958; combine harvester;0.4895293132099323
 red fox; kit fox;0.2528302613885898; grey fox;0.4707520975684747
 flute; oboe;0.4164490506074435; bassoon;0.4550261620495644
 grand piano; upright piano;0.5175345291008125; accordion;0.7009625575233824
 pug; brussels griffon;0.9032638433603278; French Bulldog;0.895439667655155
 French Bulldog; Boston Terrier;0.9147171177919882; Boxer;0.9088226476627551
 shield; tray;0.5577833074618952; mask;0.5495172679663048
 jellyfish; spotlight;0.9105012962323471; sea anemone;0.9010854938061462
 castle; palace;0.610364170048997; monastery;0.6519541381034651
 hatchet; hammer;0.42392835750564695; cleaver;0.5201216859312262
 cottontail rabbit; hare;0.48016269656145594; fox squirrel;0.6941135154254073
 West Highland White Terrier; Cairn Terrier;0.7850766625071992; Scottish Terrier;0.7672427094398881
 pelican; spoonbill;0.9850566898089619; black swan;0.9839463717148056
 pineapple; artichoke;0.941106325595681; banana;0.9367047657135481
 hermit crab; rock crab;0.9425020320223485; conch;0.9239562542771436
 bucket; trash can;0.4893288086190281; cauldron;0.5141030996139039
 tabby cat; Egyptian Mau;0.35352960940592315; tiger cat;0.36762291879742415
 hyena; African wild dog;0.8536429887081612; water buffalo;0.8925669323652909
 ladybug; leaf beetle;0.7039655560918617; ant;0.8152337153279481
 cockroach; cricket insect;0.818262382239409; tick;0.8373072415038795
 schooner; sailboat;0.5475804835068994; pirate ship;0.6473528246987462
 jeep; tow truck;0.8021433124039685; pickup truck;0.792997316486435
 assault rifle; rifle;0.3054509822175896; military uniform;0.3945858172785665
 saxophone; oboe;0.666722822356387; cornet;0.6592834114667494
 Standard Poodle; Miniature Poodle;0.7060347509873101; Toy Poodle;0.7681875249315636
 Granny Smith apple; fig;0.7832047946129478; pomegranate;0.7704751741734822
 axolotl; smooth newt;0.8842488034142298; newt;0.9240017993786387
 stingray; electric ray;0.8121470661779676; hammerhead shark;0.8605741116242427
 harp; accordion;0.9364354049152098; cello;0.9162734677616345
 scuba diver; snorkel;0.6892428678188844; loggerhead sea turtle;0.7428205352941969
 tarantula; wolf spider;0.9211749590063846; bath towel;0.9381094873259733
 gorilla; chimpanzee;0.7280510061379755; howler monkey;0.7914932890089039
 scorpion; crayfish;0.9805412083638703; letter opener;0.9811032054910169
 wheelbarrow; trash can;0.6878718208270521; shovel;0.652441891548824
 hummingbird; bee;0.925417967276806; goldfinch;0.9065374381130628
 clownfish; sea anemone;0.779523073520977; rock beauty fish;0.8341779165027401
 Bloodhound; Redbone Coonhound;0.4188670239658859; Basset Hound;0.37954573879720555
 beaver; otter;0.8273513649826478; marmot;0.7443390015513831
 starfish; sea cucumber;0.8751227007615034; sea anemone;0.8900852469817255
 centipede; isopod;0.8739796938352038; spiral or coil;0.8492435626070425
 Whippet; Italian Greyhound;0.7536896879224514; Saluki;0.7076973887452913
 Afghan Hound; Briard;0.940642634727096; Irish Wolfhound;0.945027648032304
 space shuttle; missile;0.8395318732133455; missile;0.8338214433388202
 Toy Poodle; Miniature Poodle;0.0916196681822476; Standard Poodle;0.39446631078808425
 Dalmatian; Great Dane;0.8810681572381873; soccer ball;0.9044956401028685
 hammerhead shark; tiger shark;0.8569670461755595; great white shark;0.8701042012406106
 hammer; hatchet;0.5641996120256226; metal nail;0.5276217583865218
 king penguin; soap dispenser;0.9881705748118718; leatherback sea turtle;0.9856447975676007
 polar bear; brown bear;0.9359969103342359; wild boar;0.9292777628870961
 Basset Hound; Beagle;0.7225071325097815; Treeing Walker Coonhound;0.7864912492754956
 smooth newt; newt;0.5412524235613395; spotted salamander;0.49538337260603676
 pomegranate; fig;0.9337668756547498; tea cup;0.936537093082025
 pretzel; bagel;0.8704722398369177; bakery;0.8650645845561064
 guinea pig; hamster;0.8977278868725125; Mexican hairless dog (xoloitzcuintli);0.9099109962362446
 bagel; pretzel;0.7823428790275284; cheeseburger;0.8054159176890767
 gibbon; langur;0.783547092766712; siamang;0.7601664865498605
 killer whale; grey whale;0.8840431664589596; great white shark;0.9299011384047754
 lawn mower; wheelbarrow;0.8615921805407788; forklift;0.846487076468801
 Yorkshire Terrier; Australian Silky Terrier;0.5502143231701666; Australian Terrier;0.5122019138230098
 eel; pufferfish;0.7003441151129587; sea snake;0.654314582330171
 cannon; missile;0.8662603086856506; torch;0.851045913017542
 backpack; purse;0.3798405283073112; messenger bag;0.3132348091658059
 guillotine; pole;0.9021859580024068; sewing machine;0.8980319276580373
 school bus; fire truck;0.9208937553959606; trolleybus;0.8999675961074649
 baseball player; baseball;0.5404130022430036; scoreboard;0.7036337792390622
 gas mask or respirator; oxygen mask;0.7920440988335758; mask;0.7982180642060257
 green iguana; frilled-necked lizard;0.8562211710361862; European green lizard;0.7654140354825358
 bell pepper; acorn squash;0.9033181198377861; cucumber;0.8849410029196224
 fire truck; tow truck;0.8454915513811057; garbage truck;0.8368978645551102
 mitten; wool;0.7808188133898147; Christmas stocking;0.7537013243784978
 volcano; mountain;0.7890238246720764; valley;0.8040793697719371
 tree frog; tailed frog;0.7960490051173839; American bullfrog;0.8804174337537553
 cheeseburger; hot dog;0.8993132210617477; pizza;0.9107396752132252
 cabbage; spotlight;0.8877029968520775; grocery store;0.8686031115791457
 ostrich; crane bird;0.9883778109301943; orangutan;0.9869692059565304
 pirate ship; dock;0.7241589106255925; schooner;0.6786959594508517
 mushroom; agaric;0.03323627181471239; bolete;0.2662442469711823
 great white shark; tiger shark;0.6834926022356376; hammerhead shark;0.7748166640391719
 Boston Terrier; French Bulldog;0.607985549562145; American Staffordshire Terrier;0.7319633571780286
 Indian cobra; night snake;0.854656312623847; green mamba;0.8463644990055014
 American lobster; crayfish;0.6881225865008309; spiny lobster;0.7437057409336557
 koala; indri;0.9325459465065796; wombat;0.9249996850285243
 gazelle; impala (antelope);0.4050490586459637; hartebeest;0.6281685564207874
 chameleon; European green lizard;0.8431598600822048; agama;0.7909541560699165
 lighthouse; breakwater;0.5556418649073934; promontory;0.6539105586893289
 birdhouse; crate;0.8334520770550119; mailbox;0.8149983532229089
 carousel; tray;0.9908401397243263; turnstile;0.9892213603403371
 cowboy hat; sombrero;0.3208673580994582; cowboy boot;0.44355208790705947
 steam locomotive; cannon;0.9523379756563657; freight car;0.9400935057603783
 broccoli; cauliflower;0.8294101088329626; refrigerator;0.9007508280057709
 ambulance; minibus;0.5878743037900858; police van;0.3729487308557145
 meerkat; mongoose;0.5575303305499255; Wire Fox Terrier;0.7309637699160968
 Italian Greyhound; Whippet;0.8472478276359765; Cardigan Welsh Corgi;0.877140502638994
 banana; cucumber;0.820586734905628; orange;0.7786065082945243
 toucan; hornbill;0.8671586649911115; macaw;0.9223077559739318
 Boxer; Bullmastiff;0.6879903709539212; American Staffordshire Terrier;0.7085976418148493
 Shih Tzu; Lhasa Apso;0.49519751061425266; Pekingese;0.6219591596459395
 mobile phone; hand-held computer;0.6482568245500011; iPod;0.6889062756023486
 Chow Chow; Pomeranian;0.9035858947716543; Rottweiler;0.8880532792428958
 goose; duck;0.8469544400200084; black swan;0.827079369163098
 basketball; volleyball;0.9004771397066361; drum;0.9245330767380983
 Siberian Husky; husky;0.1887852137535811; Alaskan Malamute;0.28924826207337906
 military aircraft; airplane wing;0.6974160038772971; aircraft carrier;0.7205045454634819
 duck; goose;0.8715582137919409; American coot;0.8994664677437754
 goldfinch; brambling;0.9816244261284088; indigo bunting;0.9852762312170363
